,fit_time,score_time,test_accuracy,test_f1_score,test_precision,test_recall,test_roc_auc,best_cross_val_score,test_set_score
0,2.5548,0.1472,0.9978,0.9978,0.9978,0.9978,1.0,,
1,2.608,0.1416,0.9972,0.9972,0.9972,0.9972,1.0,,
2,2.5823,0.1418,0.9976,0.9976,0.9976,0.9976,1.0,,
3,2.622,0.1434,0.9969,0.9969,0.9969,0.9969,1.0,,
4,2.5581,0.1437,0.9973,0.9973,0.9973,0.9973,1.0,,
avg,2.585,0.1435,0.9974,0.9973,0.9974,0.9974,1.0,1.0,1.0
std,0.0266,0.002,0.0003,0.0003,0.0003,0.0003,0.0,,
