,fit_time,score_time,test_accuracy,test_f1_score,test_precision,test_recall,test_roc_auc,best_cross_val_score,test_set_score
0,0.2105,0.0726,0.9712,0.9708,0.9726,0.9712,0.9756,,
1,0.1862,0.057,0.969,0.9687,0.9707,0.969,0.9734,,
2,0.2029,0.0723,0.9703,0.97,0.9719,0.9703,0.9759,,
3,0.1852,0.0657,0.9698,0.9695,0.9714,0.9698,0.9742,,
4,0.1911,0.0617,0.9715,0.9712,0.9729,0.9715,0.9758,,
avg,0.1952,0.0659,0.9704,0.97,0.9719,0.9704,0.975,0.97,0.97
std,0.0099,0.0061,0.0009,0.0009,0.0008,0.0009,0.001,,
