,fit_time,score_time,test_accuracy,test_f1_score,test_precision,test_recall,test_roc_auc,best_cross_val_score,test_set_score
0,1.7954,0.2544,0.9783,0.9782,0.9793,0.9783,0.9927,,
1,1.9537,0.2453,0.9794,0.9793,0.9803,0.9794,0.993,,
2,1.9087,0.2328,0.979,0.9789,0.9799,0.979,0.9927,,
3,1.8476,0.1925,0.9778,0.9777,0.9788,0.9778,0.9923,,
4,1.8708,0.223,0.9786,0.9785,0.9795,0.9786,0.9921,,
avg,1.8752,0.2296,0.9786,0.9785,0.9796,0.9786,0.9926,0.98,0.98
std,0.0537,0.0214,0.0005,0.0005,0.0005,0.0005,0.0003,,
